abilities,against_bug,against_dark,against_dragon,against_electric,against_fairy,against_fight,against_fire,against_flying,against_ghost,against_grass,against_ground,against_ice,against_normal,against_poison,against_psychic,against_rock,against_steel,against_water,attack,classfication,defense,hp,japanese_name,name,pokedex_number,sp_attack,sp_defense,speed,type1,type2,generation,is_legendary,version
"['Poison Point', 'Rivalry', 'Hustle']",0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,57,Poison Pin Pokémon,40,46,Nidoran?ニドラン♂,Nidoran♂,32,40,40,50,poison,none,1,0,"Blue, Red and Yellow"
"['Poison Point', 'Rivalry', 'Hustle']",0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,72,Poison Pin Pokémon,57,61,Nidorinoニドリーノ,Nidorino,33,55,55,65,poison,none,1,0,"Blue, Red and Yellow"
"['Poison Point', 'Rivalry', 'Sheer Force']",0.5,1.0,1.0,0.0,0.5,0.5,1.0,1.0,1.0,1.0,2.0,2.0,1.0,0.25,2.0,0.5,1.0,2.0,102,Drill Pokémon,77,81,Nidokingニドキング,Nidoking,34,85,75,85,poison,ground,1,0,"Blue, Red and Yellow"
"['Cute Charm', 'Magic Guard', 'Friend Guard']",0.5,0.5,0.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,45,Fairy Pokémon,48,70,Pippiピッピ,Clefairy,35,60,65,35,fairy,none,1,0,"Blue, Red and Yellow"
"['Cute Charm', 'Magic Guard', 'Unaware']",0.5,0.5,0.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,70,Fairy Pokémon,73,95,Pixyピクシー,Clefable,36,95,90,60,fairy,none,1,0,"Blue, Red and Yellow"
"['Flash Fire', 'Drought', 'Snow Cloak', 'Snow Warning']",0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,41,Fox Pokémon,40,38,Rokonロコン,Vulpix,37,50,65,65,fire,ice,1,0,"Blue, Red and Yellow"
"['Flash Fire', 'Drought', 'Snow Cloak', 'Snow Warning']",0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,67,Fox Pokémon,75,73,Kyukonキュウコン,Ninetales,38,81,100,109,fire,ice,1,0,"Blue, Red and Yellow"
"['Cute Charm', 'Competitive', 'Friend Guard']",0.5,0.5,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,45,Balloon Pokémon,20,115,Purinプリン,Jigglypuff,39,45,25,20,normal,fairy,1,0,"Blue, Red and Yellow"
"['Cute Charm', 'Competitive', 'Frisk']",0.5,0.5,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,70,Balloon Pokémon,45,140,Pukurinプクリン,Wigglytuff,40,85,50,45,normal,fairy,1,0,"Blue, Red and Yellow"
"['Inner Focus', 'Infiltrator']",0.25,1.0,1.0,2.0,0.5,0.25,1.0,1.0,1.0,0.25,0.0,2.0,1.0,0.5,2.0,2.0,1.0,1.0,45,Bat Pokémon,35,40,Zubatズバット,Zubat,41,30,40,55,poison,flying,1,0,"Blue, Red and Yellow"
"['Inner Focus', 'Infiltrator']",0.25,1.0,1.0,2.0,0.5,0.25,1.0,1.0,1.0,0.25,0.0,2.0,1.0,0.5,2.0,2.0,1.0,1.0,80,Bat Pokémon,70,75,Golbatゴルバット,Golbat,42,65,75,90,poison,flying,1,0,"Blue, Red and Yellow"
"['Chlorophyll', 'Run Away']",1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,50,Weed Pokémon,55,45,Nazonokusaナゾノクサ,Oddish,43,75,65,30,grass,poison,1,0,"Blue, Red and Yellow"
"['Chlorophyll', 'Stench']",1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,65,Weed Pokémon,70,60,Kusaihanaクサイハナ,Gloom,44,85,75,40,grass,poison,1,0,"Blue, Red and Yellow"
"['Chlorophyll', 'Effect Spore']",1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,80,Flower Pokémon,85,75,Ruffresiaラフレシア,Vileplume,45,110,90,50,grass,poison,1,0,"Blue, Red and Yellow"
"['Effect Spore', 'Dry Skin', 'Damp']",2.0,1.0,1.0,0.5,1.0,0.5,4.0,4.0,1.0,0.25,0.25,2.0,1.0,2.0,1.0,2.0,1.0,0.5,70,Mushroom Pokémon,55,35,Parasパラス,Paras,46,45,55,25,bug,grass,1,0,"Blue, Red and Yellow"
"['Effect Spore', 'Dry Skin', 'Damp']",2.0,1.0,1.0,0.5,1.0,0.5,4.0,4.0,1.0,0.25,0.25,2.0,1.0,2.0,1.0,2.0,1.0,0.5,95,Mushroom Pokémon,80,60,Parasectパラセクト,Parasect,47,60,80,30,bug,grass,1,0,"Blue, Red and Yellow"
"['Compoundeyes', 'Tinted Lens', 'Run Away']",0.5,1.0,1.0,1.0,0.5,0.25,2.0,2.0,1.0,0.25,1.0,1.0,1.0,0.5,2.0,2.0,1.0,1.0,55,Insect Pokémon,50,60,Kongpangコンパン,Venonat,48,40,55,45,bug,poison,1,0,"Blue, Red and Yellow"
"['Shield Dust', 'Tinted Lens', 'Wonder Skin ']",0.5,1.0,1.0,1.0,0.5,0.25,2.0,2.0,1.0,0.25,1.0,1.0,1.0,0.5,2.0,2.0,1.0,1.0,65,Poison Moth Pokémon,60,70,Morphonモルフォン,Venomoth,49,90,75,90,bug,poison,1,0,"Blue, Red and Yellow"
"['Sand Veil', 'Arena Trap', 'Sand Force', 'Sand Veil', 'Tangling Hair', 'Sand Force']",1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0,55,Mole Pokémon,30,10,Digdaディグダ,Diglett,50,35,45,90,ground,ground,1,0,"Blue, Red and Yellow"
"['Sand Veil', 'Arena Trap', 'Sand Force', 'Sand Veil', 'Tangling Hair', 'Sand Force']",1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0,100,Mole Pokémon,60,35,Dugtrioダグトリオ,Dugtrio,51,50,70,110,ground,ground,1,0,"Blue, Red and Yellow"
"['Pickup', 'Technician', 'Unnerve', 'Pickup', 'Technician', 'Rattled']",1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,35,Scratch Cat Pokémon,35,40,Nyarthニャース,Meowth,52,50,40,90,normal,dark,1,0,"Blue, Red and Yellow"
"['Limber', 'Technician', 'Unnerve', 'Fur Coat', 'Technician', 'Rattled']",1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,60,Classy Cat Pokémon,60,65,Persianペルシアン,Persian,53,75,65,115,normal,dark,1,0,"Blue, Red and Yellow"
"['Damp', 'Cloud Nine', 'Swift Swim']",1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,52,Duck Pokémon,48,50,Koduckコダック,Psyduck,54,65,50,55,water,none,1,0,"Blue, Red and Yellow"
"['Damp', 'Cloud Nine', 'Swift Swim']",1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,82,Duck Pokémon,78,80,Golduckゴルダック,Golduck,55,95,80,85,water,none,1,0,"Blue, Red and Yellow"
"['Vital Spirit', 'Anger Point', 'Defiant']",0.5,0.5,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,80,Pig Monkey Pokémon,35,40,Mankeyマンキー,Mankey,56,35,45,70,fighting,none,1,0,"Blue, Red and Yellow"
"['Vital Spirit', 'Anger Point', 'Defiant']",0.5,0.5,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,105,Pig Monkey Pokémon,60,65,Okorizaruオコリザル,Primeape,57,60,70,95,fighting,none,1,0,"Blue, Red and Yellow"
"['Intimidate', 'Flash Fire', 'Justified']",0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,70,Puppy Pokémon,45,55,Gardieガーディ,Growlithe,58,70,50,60,fire,none,1,0,"Blue, Red and Yellow"
"['Intimidate', 'Flash Fire', 'Justified']",0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,110,Legendary Pokémon,80,90,Windieウインディ,Arcanine,59,100,80,95,fire,none,1,0,"Blue, Red and Yellow"
"['Water Absorb', 'Damp', 'Swift Swim']",1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,50,Tadpole Pokémon,40,40,Nyoromoニョロモ,Poliwag,60,40,40,90,water,none,1,0,"Blue, Red and Yellow"
"['Water Absorb', 'Damp', 'Swift Swim']",1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,65,Tadpole Pokémon,65,65,Nyorozoニョロゾ,Poliwhirl,61,50,50,90,water,none,1,0,"Blue, Red and Yellow"
"['Water Absorb', 'Damp', 'Swift Swim']",0.5,0.5,1.0,2.0,2.0,1.0,0.5,2.0,1.0,2.0,1.0,0.5,1.0,1.0,2.0,0.5,0.5,0.5,95,Tadpole Pokémon,95,90,Nyorobonニョロボン,Poliwrath,62,70,90,70,water,fighting,1,0,"Blue, Red and Yellow"
"['Synchronize', 'Inner Focus', 'Magic Guard']",2.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,20,Psi Pokémon,15,25,Caseyケーシィ,Abra,63,105,55,90,psychic,none,1,0,"Blue, Red and Yellow"
"['Synchronize', 'Inner Focus', 'Magic Guard']",2.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,35,Psi Pokémon,30,40,Yungererユンゲラー,Kadabra,64,120,70,105,psychic,none,1,0,"Blue, Red and Yellow"
"['Synchronize', 'Inner Focus', 'Magic Guard']",2.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,50,Psi Pokémon,65,55,Foodinフーディン,Alakazam,65,175,105,150,psychic,none,1,0,"Blue, Red and Yellow"
"['Guts', 'No Guard', 'Steadfast']",0.5,0.5,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,80,Superpower Pokémon,50,70,Wanrikyワンリキー,Machop,66,35,35,35,fighting,none,1,0,"Blue, Red and Yellow"
"['Guts', 'No Guard', 'Steadfast']",0.5,0.5,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,100,Superpower Pokémon,70,80,Gorikyゴーリキー,Machoke,67,50,60,45,fighting,none,1,0,"Blue, Red and Yellow"
"['Guts', 'No Guard', 'Steadfast']",0.5,0.5,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,130,Superpower Pokémon,80,90,Kairikyカイリキー,Machamp,68,65,85,55,fighting,none,1,0,"Blue, Red and Yellow"
"['Chlorophyll', 'Gluttony']",1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,75,Flower Pokémon,35,50,Madatsubomiマダツボミ,Bellsprout,69,70,30,40,grass,poison,1,0,"Blue, Red and Yellow"
"['Chlorophyll', 'Gluttony']",1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,90,Flycatcher Pokémon,50,65,Utsudonウツドン,Weepinbell,70,85,45,55,grass,poison,1,0,"Blue, Red and Yellow"
"['Chlorophyll', 'Gluttony']",1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,105,Flycatcher Pokémon,65,80,Utsubotウツボット,Victreebel,71,100,70,70,grass,poison,1,0,"Blue, Red and Yellow"
"['Clear Body', 'Liquid Ooze', 'Rain Dish']",0.5,1.0,1.0,2.0,0.5,0.5,0.5,1.0,1.0,1.0,2.0,0.5,1.0,0.5,2.0,1.0,0.5,0.5,40,Jellyfish Pokémon,35,40,Menokurageメノクラゲ,Tentacool,72,50,100,70,water,poison,1,0,"Blue, Red and Yellow"
"['Clear Body', 'Liquid Ooze', 'Rain Dish']",0.5,1.0,1.0,2.0,0.5,0.5,0.5,1.0,1.0,1.0,2.0,0.5,1.0,0.5,2.0,1.0,0.5,0.5,70,Jellyfish Pokémon,65,80,Dokukurageドククラゲ,Tentacruel,73,80,120,100,water,poison,1,0,"Blue, Red and Yellow"
"['Rock Head', 'Sturdy', 'Sand Veil', 'Magnet Pull', 'Sturdy', 'Galvanize']",1.0,1.0,1.0,0.0,1.0,2.0,0.5,0.5,1.0,4.0,2.0,2.0,0.5,0.25,1.0,0.5,2.0,4.0,80,Rock Pokémon,100,40,Isitsubuteイシツブテ,Geodude,74,30,30,20,rock,ground,1,0,"Blue, Red and Yellow"
"['Rock Head', 'Sturdy', 'Sand Veil', 'Magnet Pull', 'Sturdy', 'Galvanize']",1.0,1.0,1.0,0.0,1.0,2.0,0.5,0.5,1.0,4.0,2.0,2.0,0.5,0.25,1.0,0.5,2.0,4.0,95,Rock Pokémon,115,55,Goloneゴローン,Graveler,75,45,45,35,rock,ground,1,0,"Blue, Red and Yellow"
"['Rock Head', 'Sturdy', 'Sand Veil', 'Magnet Pull', 'Sturdy', 'Galvanize']",1.0,1.0,1.0,0.0,1.0,2.0,0.5,0.5,1.0,4.0,2.0,2.0,0.5,0.25,1.0,0.5,2.0,4.0,120,Megaton Pokémon,130,80,Golonyaゴローニャ,Golem,76,55,65,45,rock,ground,1,0,"Blue, Red and Yellow"
"['Run Away', 'Flash Fire', 'Flame Body']",0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,85,Fire Horse Pokémon,55,50,Ponytaポニータ,Ponyta,77,65,65,90,fire,none,1,0,"Blue, Red and Yellow"
"['Run Away', 'Flash Fire', 'Flame Body']",0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,100,Fire Horse Pokémon,70,65,Gallopギャロップ,Rapidash,78,80,80,105,fire,none,1,0,"Blue, Red and Yellow"
"['Oblivious', 'Own Tempo', 'Regenerator']",2.0,2.0,1.0,2.0,1.0,0.5,0.5,1.0,2.0,2.0,1.0,0.5,1.0,1.0,0.5,1.0,0.5,0.5,65,Dopey Pokémon,65,90,Yadonヤドン,Slowpoke,79,40,40,15,water,psychic,1,0,"Blue, Red and Yellow"
"['Oblivious', 'Own Tempo', 'Regenerator']",2.0,2.0,1.0,2.0,1.0,0.5,0.5,1.0,2.0,2.0,1.0,0.5,1.0,1.0,0.5,1.0,0.5,0.5,75,Hermit Crab Pokémon,180,95,Yadoranヤドラン,Slowbro,80,130,80,30,water,psychic,1,0,"Blue, Red and Yellow"
"['Magnet Pull', 'Sturdy', 'Analytic']",0.5,1.0,0.5,0.5,0.5,2.0,2.0,0.25,1.0,0.5,4.0,0.5,0.5,0.0,0.5,0.5,0.25,1.0,35,Magnet Pokémon,70,25,Coilコイル,Magnemite,81,95,55,45,electric,steel,1,0,"Blue, Red and Yellow"
"['Magnet Pull', 'Sturdy', 'Analytic']",0.5,1.0,0.5,0.5,0.5,2.0,2.0,0.25,1.0,0.5,4.0,0.5,0.5,0.0,0.5,0.5,0.25,1.0,60,Magnet Pokémon,95,50,Rarecoilレアコイル,Magneton,82,120,70,70,electric,steel,1,0,"Blue, Red and Yellow"
"['Keen Eye', 'Inner Focus', 'Defiant']",0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,90,Wild Duck Pokémon,55,52,Kamonegiカモネギ,Farfetch'd,83,58,62,60,normal,flying,1,0,"Blue, Red and Yellow"
"['Run Away', 'Early Bird', 'Tangled Feet']",0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,85,Twin Bird Pokémon,45,35,Dodoドードー,Doduo,84,35,35,75,normal,flying,1,0,"Blue, Red and Yellow"
